TextCluster_cluster_,freq,_mean1,_mean2,_mean3,_mean4,_mean5,_mean6,_mean7,_mean8,_mean9,_mean10,TextTopic_1,TextTopic_2,TextTopic_3,TextTopic_4,TextTopic_5,TextTopic_6,TextTopic_7,TextTopic_8,TextTopic_9,TextTopic_10
8,18,0.529339819,-0.055068911,0.17458326,0.019476452,0.143798632,-0.000919376,-0.045349216,0.001564565,0.0192041,0.056980662,1,0,0,0,0,0,0,0,0,0
9,27,0.560709418,-0.072705781,0.19464811,0.018629792,0.203243294,-0.057279381,-0.004660346,-0.001602019,-0.018631037,-0.005008312,0,0,0,0,0,0,1,0,0,1
10,39,0.533193721,-0.111111063,0.207672799,0.052658254,0.105230378,0.001883643,-0.043232045,-0.023878432,-0.024158363,-0.01050096,0,0,0,0,0,0,0,0,0,0
12,28,0.554345567,-0.107478583,0.235545426,-0.001005521,0.129195369,-0.000533952,-0.033896166,-0.013151994,-0.048253594,-0.022410206,0,1,0,0,0,0,0,0,0,0
15,26,0.377389326,-0.065040026,0.101996371,0.046435942,0.081006853,-0.057513708,-0.016139904,-0.009630499,0.026275531,0.02306175,0,0,0,0,0,0,0,1,0,0
16,19,0.563732634,-0.091352952,0.226174105,0.018360002,0.136852065,-0.00537201,-0.0053658,-0.007013147,-0.023406469,-0.014446287,0,0,0,0,0,0,0,0,0,1
18,14,0.542851674,-0.098653171,0.240837338,0.04927881,0.194158662,-0.027360478,-0.029739756,0.021018883,-0.013966547,0.005586583,0,0,0,1,0,0,0,0,0,0
19,50,0.540224788,-0.095414929,0.231154447,-0.027368418,0.267843711,-0.076656075,0.044138522,-0.016925365,0.027371057,0.005411594,0,0,0,0,0,0,0,0,0,1
23,22,0.528117332,-0.086620728,0.157605822,0.052768536,0.090013813,-0.021668552,0.001743696,-0.020154463,-0.038319018,0.036451644,0,0,0,0,0,0,0,0,0,0
