"","PC1","PC2"
"Mazda RX4",-0.150059736187979,0.396249688220612
"Mazda RX4 Wag",-0.143708195621773,0.353914997500554
"Datsun 710",-0.634612306967684,-0.0334400481909674
"Hornet 4 Drive",-0.0711857736138012,-0.539541827581503
"Hornet Sportabout",0.450829789081784,-0.172250638757036
"Valiant",-0.0128177332111493,-0.636119852125602
"Duster 360",0.685592604351044,0.0764639506824216
"Merc 240D",-0.469287721849457,-0.334540821682043
"Merc 230",-0.522277849989519,-0.452893307676728
"Merc 280",-0.120187215937819,-0.0369919000054816
"Merc 280C",-0.116265530910038,-0.0739539574559406
"Merc 450SE",0.513236556162097,-0.156055789200244
"Merc 450SL",0.467573904516786,-0.155997954285763
"Merc 450SLC",0.490570896070574,-0.183059037873131
"Cadillac Fleetwood",0.890428724851937,-0.18904317343286
"Lincoln Continental",0.902834373874828,-0.16745103198349
"Chrysler Imperial",0.820373702409224,-0.0961566009252724
"Fiat 128",-0.880494975578535,-0.067756566764445
"Honda Civic",-0.971311885067329,0.157183728797622
"Toyota Corolla",-0.966788318865292,-0.0637689594286043
"Toyota Corona",-0.434773563397022,-0.484017022752685
"Dodge Challenger",0.498861137556764,-0.231573493855482
"AMC Javelin",0.425461365240694,-0.206970627209189
"Camaro Z28",0.659636418583435,0.155451193673341
"Pontiac Firebird",0.512804673076819,-0.199515190574265
"Fiat X1-9",-0.81603464018461,-0.0276741449197968
"Porsche 914-2",-0.605353988817545,0.467242398306692
"Lotus Europa",-0.773049209926572,0.314771887815017
"Ford Pantera L",0.313483703382324,0.79914556306278
"Ferrari Dino",-0.00022602595783803,0.735002159478043
"Maserati Bora",0.609434383545224,1
"Volvo 142E",-0.552687560619571,0.0533463791434443
